Masculino;Quantidade idade;Feminino;Quantidade idade
Menos de 1 ano de idade;4350;Menos de 1 ano de idade;4222
1 a 4 anos de idade;16953;1 a 4 anos de idade;16662
5 a 9 anos;22417;5 a 9 anos;21285
10 a 14 anos de idade;26101;10 a 14 anos de idade;25174
15 a 19 anos;26269;15 a 19 anos;25753
20 a 24 anos;28465;20 a 24 anos;27886
25 a 29 anos;29718;25 a 29 anos;30564
30 a 34 anos;27760;30 a 34 anos;28480
35 a 39 anos;23723;35 a 39 anos;24909
40 a 44 anos;21723;40 a 44 anos;23432
45 a 49 anos;20015;45 a 49 anos;22757
50 a 54 anos;18343;50 a 54 anos;19811
55 a 59 anos;14909;55 a 59 anos;16254
60 a 64 anos;10814;60 a 64 anos;11874
65 a 69 anos;6955;65 a 69 anos;7786
70 a 74 anos;4484;70 a 74 anos;5631
75 a 79 anos;2761;75 a 79 anos;3991
80 a 84 anos;1741;80 a 84 anos;2650
85 a 89 anos;789;85 a 89 anos;1452
90 a 94 anos;266;90 a 94 anos;549
95 a 99 anos;54;95 a 99 anos;147
100 anos ou mais;14;100 anos ou mais;28
